City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,norcasia,44,CO,1518819036,77,5.58,-74.89,75.44,1.88
88,kodiak,1,US,1518817980,29,39.95,-94.76,35.6,4.23
89,rio grande,20,BR,1518813900,65,-32.03,-52.1,77.0,18.34
90,seoul,0,KR,1518818400,34,37.57,126.98,23.0,5.82
91,lazurne,92,UA,1518819039,93,46.77,34.99,28.64,4.52
92,lompoc,1,US,1518816900,69,34.64,-120.46,75.2,14.99
93,cherskiy,36,RU,1518818957,66,68.75,161.3,-14.79,1.72
94,rio gallegos,40,AR,1518814800,62,-51.62,-69.22,68.0,16.11
95,bhum,0,IN,1518819040,66,18.47,75.67,58.39,4.79
96,ancud,88,CL,1518818757,92,-41.87,-73.83,65.18,5.35
97,srednekolymsk,68,RU,1518819042,80,67.46,153.71,-12.72,3.56
98,potchefstroom,0,ZA,1518818828,84,-26.71,27.1,59.78,3.29
99,socorro,88,PH,1518819043,100,13.06,121.41,72.7,2.89
100,tessalit,48,ML,1518819044,29,20.2,1.01,64.96,6.53
101,arman,0,RU,1518816600,82,59.7,150.17,-27.41,6.64
102,smithers,75,CA,1518814800,85,54.78,-127.17,23.0,4.7
103,forrest city,88,US,1518816900,81,35.01,-90.79,44.6,17.22
104,burevestnik,32,UA,1518819046,91,45.45,34.65,29.95,2.62
105,clive,1,US,1518816900,41,41.61,-93.78,30.2,4.52
106,kabwe,48,ZM,1518819048,91,-14.44,28.44,67.84,5.3
107,bandarbeyla,80,SO,1518819049,100,9.49,50.81,74.72,13.06
108,bulungu,32,CD,1518819049,94,-4.54,18.6,75.08,2.84
109,chuy,12,UY,1518818947,62,-33.69,-53.46,77.78,17.6
110,salalah,40,OM,1518814200,68,17.01,54.1,71.6,3.36
111,kachug,68,RU,1518819051,63,53.96,105.89,-15.42,3.0
112,yumen,88,CN,1518819053,88,40.29,97.04,21.98,11.16
113,ponta delgada,20,PT,1518816600,71,37.73,-25.67,51.8,6.93
114,denpasar,75,ID,1518814800,88,-8.65,115.22,78.8,10.29
115,ostrovnoy,48,RU,1518819055,90,68.05,39.51,20.41,9.89
116,pevek,20,RU,1518819055,89,69.7,170.27,1.64,3.29
117,guerrero negro,100,MX,1518819056,100,27.97,-114.04,64.73,3.85
118,sioux lookout,90,CA,1518814800,55,50.1,-91.92,12.2,10.29
119,saint-philippe,75,CA,1518818100,86,45.36,-73.48,30.2,5.82
120,lasa,75,CY,1518818400,87,34.92,32.53,60.8,10.29
121,qaanaaq,0,GL,1518818961,81,77.48,-69.36,0.43,5.86
122,mar del plata,24,AR,1518818937,30,-46.43,-67.52,84.49,13.35
123,yellowknife,90,CA,1518814800,70,62.45,-114.38,-0.41,20.8
124,souillac,92,FR,1518818400,93,45.6,-0.6,50.0,4.7
125,la palma,32,CO,1518818965,93,5.36,-74.39,76.12,1.5
126,amahai,24,ID,1518819062,100,-3.31,129.0,81.92,6.64
127,bredasdorp,0,ZA,1518814800,68,-34.53,20.04,66.2,10.29
128,mandalgovi,88,MN,1518818928,74,45.76,106.27,11.99,6.24
129,lakatoro,92,VU,1518819063,94,-16.11,167.42,80.21,10.67
130,port blair,0,IN,1518819063,100,11.67,92.75,79.36,13.06
131,kavieng,44,PG,1518819064,100,-2.57,150.8,83.05,11.83
132,karratha,0,AU,1518819064,68,-20.74,116.85,79.67,7.58
133,portland,90,US,1518818160,81,45.52,-122.67,50.0,13.87
134,castro,88,CL,1518819066,83,-42.48,-73.76,67.39,4.9
135,birjand,90,IR,1518814800,31,32.86,59.22,50.0,4.7
136,sitka,76,US,1518818921,41,37.17,-99.65,41.11,7.25
137,aklavik,20,CA,1518814800,78,68.22,-135.01,12.2,12.75
138,port elizabeth,75,US,1518818100,76,39.31,-74.98,53.6,8.05
139,saskylakh,76,RU,1518818915,81,71.97,114.09,-18.61,3.29
140,severo-kurilsk,48,RU,1518819069,100,50.68,156.12,21.98,11.9
